year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2056;471.2416666666666;58905208.333333336;11596752.128649741;22111966.145833354;166550.5527823586;171287.97632920175;701078.3074489501;10;152;31.187500000000057;453.45833333333377;3898437.5000000373;56682291.66666674;30633;1859
2057;473.30833333333334;59163541.666666664;11073320.510411218;21113919.270833336;167280.97307431823;163556.71315825786;750116.6052760782;4;153;10.333333333333599;452.4374999999998;1291666.6666666418;56554687.49999998;37344;1867
2058;475.8916666666667;59486458.333333336;11838029.179342508;22572018.22916667;168193.99843926777;174851.72049561754;785312.2604733263;3;160;12.916666666666856;481.81249999999994;1614583.3333333582;60226562.49999998;45504;1877
2059;477.62499999999994;59703124.99999999;11475615.097000226;21880989.58333331;168806.60900671777;169498.74113821163;807872.8227169181;4;158;8.666666666666174;470.9166666666667;1083333.3333332837;58864583.33333327;48463;1884
2060;477.83333333333326;59729166.66666666;11184985.922302082;21326835.937499978;168880.24008453623;165206.04930139234;821730.1915623618;1;156;1.041666666666572;466.395833333333;130208.33333332092;58299479.16666667;50856;1885
2061;477.83333333333326;59729166.66666666;11596752.128649741;22111966.145833354;168880.24008453623;171287.97632920175;832752.7639117929;0;162;0.0;484.6458333333338;0.0;60580729.166666776;53984;1885
2062;477.83333333333326;59729166.66666666;11073320.510411218;21113919.270833336;168880.24008453623;163556.71315825786;836404.8653715911;0;157;0.0;462.77083333333337;0.0;57846354.16666662;53862;1885
2063;477.83333333333326;59729166.66666666;11838029.179342508;22572018.22916667;168880.24008453623;174851.72049561754;840969.9921963388;0;163;0.0;494.7291666666668;0.0;61841145.833333336;57359;1885
2064;477.83333333333326;59729166.66666666;11475615.097000226;21880989.58333331;168880.24008453623;169498.74113821163;844033.0450335888;0;162;0.0;479.58333333333286;0.0;59947916.66666655;56062;1885
2065;477.83333333333326;59729166.66666666;11184985.922302082;21326835.937499974;168880.24008453623;165206.04930139234;844401.2004226812;0;157;0.0;467.4374999999995;0.0;58429687.49999999;55524;1885
2066;477.83333333333326;59729166.66666666;11596752.128649741;22111966.145833354;168880.24008453623;171287.97632920175;844401.2004226812;0;162;0.0;484.6458333333338;0.0;60580729.166666776;57696;1885
2067;477.83333333333326;59729166.66666666;11073320.510411218;21113919.270833336;168880.24008453623;163556.71315825786;844401.2004226812;0;157;0.0;462.77083333333337;0.0;57846354.16666662;55092;1885
2068;477.83333333333326;59729166.66666666;11838029.179342508;22572018.22916667;168880.24008453623;174851.72049561754;844401.2004226812;0;163;0.0;494.7291666666668;0.0;61841145.833333336;58897;1885
2069;477.83333333333326;59729166.66666666;11475615.097000226;21880989.58333331;168880.24008453623;169498.74113821163;844401.2004226812;0;162;0.0;479.58333333333286;0.0;59947916.66666655;57094;1885
2070;477.83333333333326;59729166.66666666;11184985.922302082;21326835.937499974;168880.24008453623;165206.04930139234;844401.2004226812;0;157;0.0;467.4374999999995;0.0;58429687.49999999;55648;1885
