year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2056;206.1682291666667;25771028.645833332;5073579.056284249;9673985.188802073;72865.86684228189;74938.48964402563;306721.7595089156;10;152;13.644531249999972;198.38802083333312;1705566.4062499814;24798502.60416665;13402;1859
2057;207.07239583333333;25884049.479166668;4844577.723304912;9237339.680989593;73185.42572001423;71556.06200673792;328176.01480828424;4;153;4.520833333333201;197.9414062500003;565104.1666666791;24742675.781250034;16338;1867
2058;208.20260416666665;26025325.520833332;5179137.765962347;9875257.975260412;73584.87431717965;76497.62771683275;343574.11395708035;3;160;5.651041666666572;210.79296874999997;706380.2083333209;26349121.09375;19908;1877
2059;208.96093750000003;26120117.187500004;5020581.604937613;9572932.942708354;73852.89144043904;74155.69924796767;353444.35993865173;4;158;3.791666666666913;206.02604166666688;473958.33333335817;25753255.20833335;21203;1884
2060;209.05208333333334;26131510.416666668;4893431.341007158;9330490.72265624;73885.10503698462;72277.64656935913;359506.9588085334;1;156;0.4557291666665719;204.04817708333323;56966.145833320916;25506022.13541664;22250;1885
2061;209.05208333333334;26131510.416666668;5073579.056284249;9673985.188802073;73885.10503698462;74938.48964402563;364329.33421140944;0;162;0.0;212.0325520833331;0.0;26504069.01041663;23618;1885
2062;209.05208333333334;26131510.416666668;4844577.723304912;9237339.680989593;73885.10503698462;71556.06200673792;365927.1286000712;0;157;0.0;202.4622395833335;0.0;25307779.947916713;23565;1885
2063;209.05208333333334;26131510.416666668;5179137.765962347;9875257.975260412;73885.10503698462;76497.62771683275;367924.3715858983;0;163;0.0;216.44401041666654;0.0;27055501.30208332;25095;1885
2064;209.05208333333334;26131510.416666668;5020581.604937613;9572932.942708354;73885.10503698462;74155.69924796767;369264.4572021952;0;162;0.0;209.8177083333338;0.0;26227213.54166671;24527;1885
2065;209.05208333333334;26131510.416666668;4893431.341007158;9330490.72265624;73885.10503698462;72277.64656935913;369425.5251849231;0;157;0.0;204.5039062499998;0.0;25562988.281249963;24292;1885
2066;209.05208333333334;26131510.416666668;5073579.056284249;9673985.188802073;73885.10503698462;74938.48964402563;369425.5251849231;0;162;0.0;212.0325520833331;0.0;26504069.01041663;25242;1885
2067;209.05208333333334;26131510.416666668;4844577.723304912;9237339.680989593;73885.10503698462;71556.06200673792;369425.5251849231;0;157;0.0;202.4622395833335;0.0;25307779.947916713;24103;1885
2068;209.05208333333334;26131510.416666668;5179137.765962347;9875257.975260412;73885.10503698462;76497.62771683275;369425.5251849231;0;163;0.0;216.44401041666654;0.0;27055501.30208332;25768;1885
2069;209.05208333333334;26131510.416666668;5020581.604937613;9572932.942708354;73885.10503698462;74155.69924796767;369425.5251849231;0;162;0.0;209.8177083333338;0.0;26227213.54166671;24979;1885
2070;209.05208333333334;26131510.416666668;4893431.341007158;9330490.72265624;73885.10503698462;72277.64656935913;369425.5251849231;0;157;0.0;204.5039062499998;0.0;25562988.281249963;24346;1885
