year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2056;471.2416666666666;58905208.333333336;7178398.11991325;14532499.999999993;166550.5527823586;171206.9821436013;723251.5702232164;10;191;24.950000000000045;459.4666666666663;3118750.00000003;57433333.33333328;32723;1859
2057;473.30833333333334;59163541.666666664;6993165.070199326;14157500.000000011;167280.97307431823;166789.11747449043;763960.7205275145;4;196;8.266666666666879;463.6500000000001;1033333.3333333135;57956249.99999996;41485;1867
2058;475.8916666666667;59486458.333333336;7173458.571920857;14522500.000000002;168193.99843926777;171089.1724190918;795686.8793379547;3;196;10.333333333333485;473.74999999999983;1291666.6666666865;59218750.00000001;45713;1877
2059;477.62499999999994;59703124.99999999;6965997.556241274;14102499.999999996;168806.60900671777;166141.1639896876;809988.979893422;4;196;6.933333333332939;463.1500000000002;866666.6666666269;57893750.00000006;50320;1884
2060;477.83333333333326;59729166.66666666;7190746.989894167;14557499.99999999;168880.24008453623;171501.5064548751;828591.1353934907;1;201;0.8333333333332575;484.41666666666634;104166.66666665673;60552083.33333331;51403;1885
2061;477.83333333333326;59729166.66666666;6993165.070199326;14157500.000000011;168880.24008453623;166789.11747449043;832991.3286039247;0;200;0.0;471.91666666666697;0.0;58989583.333333276;54699;1885
2062;477.83333333333326;59729166.66666666;7173458.571920857;14522500.000000002;168880.24008453623;171089.1724190918;840213.0647163646;0;199;0.0;484.0833333333333;0.0;60510416.666666694;55197;1885
2063;477.83333333333326;59729166.66666666;6965997.556241274;14102499.999999996;168880.24008453623;166141.1639896876;838917.1577467585;0;200;0.0;470.08333333333314;0.0;58760416.66666669;56399;1885
2064;477.83333333333326;59729166.66666666;7190746.989894167;14557499.99999999;168880.24008453623;171501.5064548751;846727.9424817461;0;202;0.0;485.2499999999996;0.0;60656249.99999997;55137;1885
2065;477.83333333333326;59729166.66666666;6993165.070199326;14157500.000000011;168880.24008453623;166789.11747449043;842310.0778126352;0;200;0.0;471.91666666666697;0.0;58989583.333333276;57669;1885
2066;477.83333333333326;59729166.66666666;7173458.571920857;14522500.000000002;168880.24008453623;171089.1724190918;846610.1327572366;0;199;0.0;484.0833333333333;0.0;60510416.666666694;56181;1885
2067;477.83333333333326;59729166.66666666;6965997.556241274;14102499.999999996;168880.24008453623;166141.1639896876;841662.1243278324;0;200;0.0;470.08333333333314;0.0;58760416.66666669;57629;1885
2068;477.83333333333326;59729166.66666666;7190746.989894167;14557499.99999999;168880.24008453623;171501.5064548751;847022.4667930199;0;202;0.0;485.2499999999996;0.0;60656249.99999997;55963;1885
2069;477.83333333333326;59729166.66666666;6993165.070199326;14157500.000000011;168880.24008453623;166789.11747449043;842310.0778126352;0;200;0.0;471.91666666666697;0.0;58989583.333333276;57768;1885
