year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2056;412.3364583333334;51542057.291666664;6284069.8017632365;12721953.124999985;145731.73368456378;149876.97928805125;613443.5190178312;10;152;27.289062499999943;396.77604166666623;3411132.8124999627;49597005.2083333;26804;1859
2057;414.14479166666666;51768098.958333336;6000431.694388822;12147734.375000013;146370.85144002846;143112.12401347584;656352.0296165685;4;153;9.041666666666401;395.8828125000006;1130208.3333333582;49485351.56250007;32676;1867
2058;416.4052083333333;52050651.041666664;6414813.462686308;12986640.624999994;147169.7486343593;152995.2554336655;687148.2279141607;3;160;11.302083333333144;421.58593749999994;1412760.4166666418;52698242.1875;39816;1877
2059;417.92187500000006;52240234.37500001;6218427.839770883;12589062.50000003;147705.78288087808;148311.39849593534;706888.7198773035;4;158;7.583333333333826;412.05208333333377;947916.6666667163;51506510.4166667;42405;1884
2060;418.1041666666667;52263020.833333336;6060941.157295354;12270234.374999989;147770.21007396924;144555.29313871826;719013.9176170668;1;156;0.9114583333331439;408.09635416666646;113932.29166664183;51012044.27083328;44499;1885
2061;418.1041666666667;52263020.833333336;6284069.8017632365;12721953.124999985;147770.21007396924;149876.97928805125;728658.6684228189;0;162;0.0;424.0651041666662;0.0;53008138.02083326;47236;1885
2062;418.1041666666667;52263020.833333336;6000431.694388822;12147734.375000013;147770.21007396924;143112.12401347584;731854.2572001424;0;157;0.0;404.924479166667;0.0;50615559.895833425;47129;1885
2063;418.1041666666667;52263020.833333336;6414813.462686308;12986640.624999994;147770.21007396924;152995.2554336655;735848.7431717966;0;163;0.0;432.8880208333331;0.0;54111002.60416664;50189;1885
2064;418.1041666666667;52263020.833333336;6218427.839770883;12589062.50000003;147770.21007396924;148311.39849593534;738528.9144043904;0;162;0.0;419.6354166666676;0.0;52454427.08333342;49054;1885
2065;418.1041666666667;52263020.833333336;6060941.157295354;12270234.374999989;147770.21007396924;144555.29313871826;738851.0503698462;0;157;0.0;409.0078124999996;0.0;51125976.562499925;48583;1885
2066;418.1041666666667;52263020.833333336;6284069.8017632365;12721953.124999985;147770.21007396924;149876.97928805125;738851.0503698462;0;162;0.0;424.0651041666662;0.0;53008138.02083326;50484;1885
2067;418.1041666666667;52263020.833333336;6000431.694388822;12147734.375000013;147770.21007396924;143112.12401347584;738851.0503698462;0;157;0.0;404.924479166667;0.0;50615559.895833425;48206;1885
2068;418.1041666666667;52263020.833333336;6414813.462686308;12986640.624999994;147770.21007396924;152995.2554336655;738851.0503698462;0;163;0.0;432.8880208333331;0.0;54111002.60416664;51535;1885
2069;418.1041666666667;52263020.833333336;6218427.839770883;12589062.50000003;147770.21007396924;148311.39849593534;738851.0503698462;0;162;0.0;419.6354166666676;0.0;52454427.08333342;49957;1885
2070;418.1041666666667;52263020.833333336;6060941.157295354;12270234.374999989;147770.21007396924;144555.29313871826;738851.0503698462;0;157;0.0;409.0078124999996;0.0;51125976.562499925;48692;1885
