year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2056;73.63151041666666;9203938.802083332;2580844.1286367215;4767701.1108398475;26023.523872243528;27866.371691769964;105119.4082475969;10;110;6.822265625;72.02343750000006;852783.203125;9002929.687500007;2909;1859
2057;73.95442708333331;9244303.385416664;2337691.9449665323;4318515.930175776;26137.65204286222;25240.96357330365;116547.18162214792;4;105;2.2604166666666003;69.15690104166664;282552.08333332464;8644612.63020833;4384;1867
2058;74.35807291666666;9294759.114583332;2296669.337292116;4242733.154296875;26280.312256135585;24798.02662080168;122369.78919776483;3;104;2.8255208333333997;67.3385416666666;353190.10416667536;8417317.708333325;6056;1877
2059;74.62890624999999;9328613.281249998;2260867.78877626;4176595.4589843736;26376.032657299646;24411.463462254524;123445.72332238786;4;103;1.8958333333333002;67.17447916666667;236979.16666666232;8396809.895833347;7635;1884
2060;74.66145833333331;9332682.291666666;2385427.3429876715;4406699.523925782;26387.537513208794;25756.381118033252;123113.92327796815;1;112;0.22786458333330017;72.64778645833337;28483.07291667536;9080973.307291659;8761;1885
2061;74.66145833333331;9332682.291666666;2556230.5640320666;4722231.445312494;26387.537513208794;27600.609520268736;125259.34880790494;0;119;0.0;78.0937499999999;0.0;9761718.749999987;8575;1885
2062;74.66145833333331;9332682.291666666;2689442.15913482;4968318.786621096;26387.537513208794;29038.94660602975;129856.22903496189;0;126;0.0;82.16341145833336;0.0;10270426.43229167;8233;1885
2063;74.66145833333331;9332682.291666666;2580844.1286367215;4767701.1108398475;26387.537513208794;27866.371691769964;133923.1955988437;0;120;0.0;78.84570312500006;0.0;9855712.890625007;8017;1885
2064;74.66145833333331;9332682.291666666;2337691.9449665323;4318515.930175776;26387.537513208794;25240.96357330365;135422.73851804127;0;109;0.0;71.41731770833324;0.0;8927164.713541655;7997;1885
2065;74.66145833333331;9332682.291666666;2296669.337292116;4242733.154296875;26387.537513208794;24798.02662080168;134544.91801217373;0;107;0.0;70.1640625;0.0;8770507.8125;8649;1885
2066;74.66145833333331;9332682.291666666;2260867.78877626;4176595.4589843736;26387.537513208794;24411.463462254524;131355.7719541595;0;107;0.0;69.07031249999997;0.0;8633789.06250001;9297;1885
2067;74.66145833333331;9332682.291666666;2385427.3429876715;4406699.523925782;26387.537513208794;25756.381118033252;128073.20646616301;0;113;0.0;72.87565104166667;0.0;9109456.380208334;9782;1885
2068;74.66145833333331;9332682.291666666;2556230.5640320666;4722231.445312494;26387.537513208794;27600.609520268736;127807.4442946618;0;119;0.0;78.0937499999999;0.0;9761718.749999987;9387;1885
2069;74.66145833333331;9332682.291666666;2689442.15913482;4968318.786621096;26387.537513208794;29038.94660602975;131605.42732738788;0;126;0.0;82.16341145833336;0.0;10270426.43229167;8503;1885
2070;74.66145833333331;9332682.291666666;2580844.1286367215;4767701.1108398475;26387.537513208794;27866.371691769964;134673.77239835614;0;120;0.0;78.84570312500006;0.0;9855712.890625007;8353;1885
2071;74.66145833333331;9332682.291666666;2337691.9449665323;4318515.930175776;26387.537513208794;25240.96357330365;135503.27250940527;0;109;0.0;71.41731770833324;0.0;8927164.713541655;8223;1885
2072;74.66145833333331;9332682.291666666;2296669.337292116;4242733.154296875;26387.537513208794;24798.02662080168;134544.9180121737;0;107;0.0;70.1640625;0.0;8770507.8125;8676;1885
