year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2056;412.3364583333334;51542057.291666664;10142359.98940134;19338821.614583354;145731.73368456378;149806.10937565117;632845.1239453146;10;191;21.831249999999955;402.0333333333338;2728906.24999997;50254166.66666673;28632;1859
2057;414.14479166666666;51768098.958333336;9880644.180282071;18839798.177083336;146370.85144002846;145940.4777901794;668465.6304615756;4;196;7.233333333333121;405.69375000000025;904166.6666666865;50711718.750000015;36299;1867
2058;416.4052083333333;52050651.041666664;10135380.90115811;19325514.322916646;147169.7486343593;149703.02586670505;696226.0194207103;3;196;9.041666666666515;414.5312499999997;1130208.3333333135;51816406.24999996;39999;1877
2059;417.92187500000006;52240234.37500001;9842259.19494459;18766608.07291668;147705.78288087808;145373.51849097668;708740.3574067443;4;196;6.066666666667061;405.25624999999985;758333.3333333731;50657031.24999998;44030;1884
2060;418.1041666666667;52263020.833333336;10159807.710009292;19372089.843750015;147770.21007396924;150063.81814801582;725017.2434693045;1;201;0.7291666666665151;423.86458333333377;91145.83333331347;52983072.9166667;44978;1885
2061;418.1041666666667;52263020.833333336;9880644.180282071;18839798.177083336;147770.21007396924;145940.4777901794;728867.4125284345;0;200;0.0;412.92708333333337;0.0;51615885.4166667;47862;1885
2062;418.1041666666667;52263020.833333336;10135380.90115811;19325514.322916646;147770.21007396924;149703.02586670505;735186.4316268188;0;199;0.0;423.57291666666623;0.0;52946614.583333276;48297;1885
2063;418.1041666666667;52263020.833333336;9842259.19494459;18766608.07291668;147770.21007396924;145373.51849097668;734052.5130284138;0;200;0.0;411.3229166666669;0.0;51415364.58333335;49349;1885
2064;418.1041666666667;52263020.833333336;10159807.710009292;19372089.843750015;147770.21007396924;150063.81814801582;740886.949671528;0;202;0.0;424.5937500000003;0.0;53074218.750000015;48245;1885
2065;418.1041666666667;52263020.833333336;9880644.180282071;18839798.177083336;147770.21007396924;145940.4777901794;737021.3180860563;0;200;0.0;412.92708333333337;0.0;51615885.4166667;50461;1885
2066;418.1041666666667;52263020.833333336;10135380.90115811;19325514.322916646;147770.21007396924;149703.02586670505;740783.8661625818;0;199;0.0;423.57291666666623;0.0;52946614.583333276;49158;1885
2067;418.1041666666667;52263020.833333336;9842259.19494459;18766608.07291668;147770.21007396924;145373.51849097668;736454.3587868535;0;200;0.0;411.3229166666669;0.0;51415364.58333335;50426;1885
2068;418.1041666666667;52263020.833333336;10159807.710009292;19372089.843750015;147770.21007396924;150063.81814801582;741144.6584438926;0;202;0.0;424.5937500000003;0.0;53074218.750000015;48968;1885
2069;418.1041666666667;52263020.833333336;9880644.180282071;18839798.177083336;147770.21007396924;145940.4777901794;737021.3180860563;0;200;0.0;412.92708333333337;0.0;51615885.4166667;50547;1885
