year;port_name;nuclear_available_from_year;maturity_factor;allocation_share;allocated_new_ship_loadings;allocated_refuellings;allocated_total_service_events;allocated_initial_fuel_loading_tons;allocated_refueling_tons;allocated_fuel_throughput_tons;allocated_initial_fuel_loading_pebbles;allocated_refueling_pebbles;allocated_fuel_throughput_pebbles;allocated_fresh_fuel_storage_m3;allocated_spent_fuel_storage_m3;allocated_waste_m3;allocated_truckloads
2050;Provideniya;2041;1.0;0.07547169811320756;6.339622641509435;4.3773584905660385;10.716981132075473;16.667649371069157;11.542845911949687;23.60849056603774;2083456.1713836445;1442855.7389937115;2951061.3207547166;9970.412032716922;10029.247431690776;8343.92930901841;134.33962264150946
2050;Busan;2045;1.0;0.10849056603773584;9.11320754716981;6.292452830188679;15.405660377358489;23.959745970911907;16.592840998427672;33.93720518867924;2994968.246363988;2074105.12480346;4242150.648584904;14332.467297030573;14417.043183055486;11994.39838171396;193.1132075471698
2050;Jebel Ali;2045;1.0;0.1320754716981132;11.09433962264151;7.660377358490566;18.754716981132074;29.16838639937102;20.19998034591195;41.31485849056604;3646048.299921377;2524997.5432389947;5164357.311320754;17448.22105725461;17551.183005458854;14601.876290782213;235.0943396226415
2050;Los Angeles;2050;0.5;0.04481132075471698;3.7641509433962264;2.599056603773585;6.363207547169811;9.896416814072309;6.8535647602201255;14.017541273584905;1237052.1017590386;856695.595027516;1752192.6591981128;5919.932144425671;5954.865662566396;4954.208027229679;79.76415094339622
2050;Algeciras;2050;0.5;0.07075471698113207;5.943396226415095;4.10377358490566;10.047169811320755;15.62592128537733;10.82141804245283;22.13295990566038;1953240.1606721662;1352677.2553066043;2766619.9882075465;9347.261280672114;9402.4194672101;7822.433727204757;125.94339622641509
2050;Murmansk;2050;0.5;0.05424528301886792;4.556603773584905;3.1462264150943393;7.702830188679244;11.979872985455954;8.296420499213836;16.96860259433962;1497484.123181994;1037052.56240173;2121075.324292452;7166.233648515286;7208.521591527743;5997.19919085698;96.5566037735849
2051;Rotterdam;2037;1.0;0.11304347826086956;7.460869565217391;9.721739130434782;17.182608695652174;19.40138134057967;25.451562499999994;39.24168931159419;2425172.6675724625;3181445.3124999977;4905211.163949274;15852.338871912076;23019.61199689999;13869.157821272709;336.1913043478261
2051;Singapore;2038;1.0;0.11739130434782609;7.747826086956522;10.095652173913043;17.843478260869567;20.147588315217348;26.430468749999992;40.750985054347815;2518448.5394021724;3303808.5937499977;5093873.131793478;16462.044213139463;23904.98168908845;14402.586968244736;349.1217391304348
2051;Hamburg;2038;1.0;0.11304347826086956;7.460869565217391;9.721739130434782;17.182608695652174;19.40138134057967;25.451562499999994;39.24168931159419;2425172.6675724625;3181445.3124999977;4905211.163949274;15852.338871912076;23019.61199689999;13869.157821272709;336.1913043478261
2051;Shanghai;2040;1.0;0.13043478260869565;8.608695652173912;11.217391304347826;19.82608695652174;22.386209239130384;29.367187499999993;45.27887228260868;2798276.154891303;3670898.437499997;5659859.035326085;18291.160236821626;26561.090765653833;16002.874409160817;387.9130434782609
